tweet,original_sentiment
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Is social media helping or causing more panic ?",Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing

After seeing the handling of Corona

If there was another EU referendum would you vote",Neutral
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Do you regret voting Conservative?",Negative
"#coronavirus #CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Can elderly isolation be managed by the state?",Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Would the Labour party have done a better job of managing this crisis ?",Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Should panic buyers be banned from supermarkets ?",Extremely Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Are kids more at risk out of school than in",Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Can the British public come together to beat #Covid_19",Neutral
"#coronavirus #CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Is feeding Pets an issue ?",Neutral
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Is trust in other humans lost?",Positive
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing



Should the Elderly be isolated ?",Negative
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing

 

Should Boris be in charge ?",Neutral
'How COVID-19 Is Impacting Online Shopping Behavior' https://t.co/Fl5vuOLjnm,Neutral
"@BorisJohnson Get testing available at all major supermarket warehouses and staple food producers NOW. Its THE most important area to tackle may'be even more so than the NHS as the enviroment is even more prone to speeading Covid 19. Don""t say i didn't wa",Positive
People are panic buying because they do not trust the government. They see politicians lying daily on their TV screens. The politicians say there's plenty of food. But they also say they're ramping up testing which everybody who has covid-19 symptoms knows is a lie #StopHoarding,Extremely Negative
"""I'm not playing games. Not playing. I refuse to take part in these government experiments.  

You stay safe brother.""



He says intensely as he hurriedly exits the shop with an armful of Star Wars figures. #StopHoarding #coronavirus",Negative
Officials say they typically deliver about 50 000 meals in the counties they serve however recent demand has nearly doubled due to the closures amid the COVID 19 outbreak,Negative
Health Care Workers Grocery Store Employees and Truck Drivers Are now more important than Pro Athletes Actors and Famous Musicians  ,Extremely Positive
Remember to say thank you to the grocery store staff #Covid_19,Positive
"Happy Birthday Annabelle, 7 today ?



Enjoy your personalized book ?



#StopHoarding #AfterHours #CoronaCrisis #CoronaVirusUpdate #coronavirus #COVID19 #ACNH #AnimalCrossingNewHorizons #DOOMEternal #FightCOVID19 #GadBookClub #kidkrow #Turkey #workingfromhome https://t.co/KwsdLYBrsq",Extremely Positive
THANK YOUR LOCAL GROCERY STORE WORKERS on the frontlines Their just announced a temporary 2 hour PAY RAISE from grocers for the employees  dedication and hard work  ,Positive
"Coronavirus self-isolation needs to go on for 12 months, UK's scientific advice says https://t.co/rdJEORX032",Negative
"Supermarket chains are reserving special shopping hours for seniors and others at greater risk of becoming infected with the #coronavirus, @AudioBruce reports: https://t.co/RzFLh9Fw3s",Neutral
"A person with coronavirus visited Nebraska Furniture Mart. Mediocre, overrated furniture at above average prices PLUS coronavirus exposure? NFM, you can officially call me a FORMER customer. Have a good day. https://t.co/BMO6AziOXC",Positive
"Amazon says the coronavirus outbreak has caused a surge in online shopping. https://t.co/g2qNV9mjZX



#COVID19 #coronavirus #onlineshopping",Positive
 All the people who are outside risking their own for the rest of us including grocery store workers and professionals should be applauded   says UCR,Positive
U S automakers are just starting to feel impacts from the pandemic but experts say the worst days for consumer vehicle demand and supply chains lie ahead,Extremely Negative
"Independent grocers say they face supply shortages in #Brighton over #coronavirus and say it is 'unfair' to criticise price rises, despite claims prices of some items have doubled- read more here >> https://t.co/0yGxjCAxAs",Negative
Suppliers Mull Carb Obligation Impacts as California Allowance CCA Prices amp Demand Fall,Negative
Premier Higgs provides update on New Brunswick COVID-19 on Friday https://t.co/W0USNnbn8b,Neutral
"""Fraser holds the Canada Research Chair in Global Food Security and studies food security, food prices, rural agricultural policy and how each is affected by climate change."" @uofg https://t.co/nKiveEwx6D",Positive
"""We have come together for our farmers going through drought, we have come together for those so terribly affected by the bushfires, so let's come together again""-David Littleproud @guardian 



Read how Australia is ensuring #foodsecurity during #COVID-19: https://t.co/dYeC8YrQbQ https://t.co/QFtrxQQTYj",Extremely Negative
"On March 25th, Stefan Tanase, Cyber Intelligence Expert, eCrime Unit at @csis_cyber will cover the topic ""The Magecart Phenomenon - Supply Chain Attacks on Payments Processing"". Join our #webinar to learn more https://t.co/7npEyxyl4V

@stefant https://t.co/bIBvlAdr6K",Positive
BREAKING The Ministry of has fixed food prices in order to prevent markets from hiking them during the outbreak The list of foods whose prices have been fixed are attached to this tweet,Neutral
"We're giving away $100,000 this #CashAppFriday. RT this with your $cashtag or ÃÂ£cashtag for a chance to receive $250 in cash or bitcoin.



Must be following @CashApp to qualify. No purchase necessary. Void where prohibited. Official rules: https://t.co/cVPeTFLAE6 https://t.co/8PEMI3CO8h",Positive
FREEZE MORTGAGES! FREEZE RENTS! FREEZE GROCERY PRICES!  #CoronaVirusUpdate #COVID19 #Covid_19 #COVID #StaySafeStayHome @CNN @DNC @AOC UNTIL THIS IS FIXED!!!,Positive
"Please, please, PLEASE turn off Fox News! The life you're saving might be your own or a health care worker, hospital staff, first responder, grocery/drug store worker... #FoxNews

#coronavirus

https://t.co/2iopDtoMpe",Extremely Positive
"Fuck testing the @NBA and Celebrities... Keep America's Truckers, Medical workers, and Grocery store workers tested and healthy. With out them, everything stops. The priorities of this world need to be adjusted... #coronavirus",Negative
"'There's plenty of supply' Ã¢ÂÂ Grocery store spokesman says public should not panic, shortages are temporary https://t.co/r2jtb1SMmW #Coronavirus #Coronaviruspanic via @theblaze https://t.co/TOSlBQ8a8H",Positive
"A friend has just taken four days to drive home from Alicante He's an ardent Brexiteer. 

In Madrid on Tuesday, the epicentre of Spain's COVID-19 epidemic, he says he went to a well-stocked supermarket. No panic buying, only sanitizers for hands and trolleys. 

And Brits #panicbuy",Positive
"#Coronavirus: Asian Woman Kicked Out Of Ghanaian Supermarket For Refusing To Use Hand Sanitizer (Video) https://t.co/GTZ3a7GEoU #YoullNeverWalkAlone

#AusgangsSperreJetzt

#Covid_19 #YNWA

#COVID19NIGERIA #AfterHours

#davido #CALockdown #StopHoarding #FridayFeeling

#CoronaCrisis",Positive
"#Coronavirus: Lagos To Teach SS3 Students With Radio, TV https://t.co/1Tjg4EL14w @followlasg 

#YoullNeverWalkAlone

#AusgangsSperreJetzt

#Covid_19 #YNWA

#COVID19NIGERIA #AfterHours

#davido #CALockdown #StopHoarding #FridayFeeling

#CoronaCrisis",Neutral
"#Coronavirus: Buhari Will Address The Nation When The Time Is Right - Lai Mohammed https://t.co/suZd7G7miL #YoullNeverWalkAlone

#AusgangsSperreJetzt

#Covid_19 #YNWA

#COVID19NIGERIA #AfterHours

#davido #CALockdown #StopHoarding #FridayFeeling

#CoronaCrisis",Neutral
"#Coronavirus: Europe To Unite In Singing Of Liverpool Anthem 'You'll Never Walk Alone' To Show Coronavirus Togetherness https://t.co/8lVYsUW0yI @LFC 

 #YoullNeverWalkAlone

#Covid_19 #YNWA

#COVID19NIGERIA #AfterHours

#davido #CALockdown #StopHoarding #FridayFeeling

#CoronaCrisis",Positive
Thank you Just had a rotten day having to take a lot of abuse Can I just say to anyone who is going to the PLEASE be kind amp considerate to the staff it s not their fault there are long lines no stock and no delivery slots,Positive
#Coronavirus is Already Impacting Consumer #Banking: Survey - https://t.co/mnL5kjn02e #GoogleAlerts,Neutral
"Illinois State Governor issued a 'Stay at Home' order (minus Grocery Store, Gas Station, Emergency Works and RESTAURANTS??) https://t.co/UMm3faKcAH #coronavirus #COVID19 #Covid_19 #Illinois #pandemic #apocalypse2020",Negative
"Crypto Lovers Settle Down! Bitcoin Prices hit back high after US Stock figures recover from COVID19.

#Bitcoin #cryptocurrency #Covid_19 #BTC #bitcoinprice

https://t.co/R1lsUW6pxM",Positive
Tom Jefferson: Covid-19Ã¢ÂÂsupermarket wisdom - The BMJ https://t.co/epvjy7JKit,Positive
Fear breeds fraud and false reports Passing on unverified emails only causes more confusion Please check facts amp rely only on official sources Here s the latest from the on,Extremely Negative
"Today, we'd love to say a big thank you to all of the supermarket heroes who are working so hard to keep our supply chain running and stock on the shelves - you're all amazing!



#CordantLovesPeople #COVID19 #Coronavirus #Gratitude #FeedbackFriday https://t.co/iOJqzEldK1",Extremely Positive
Impact of #Coronavirus Disease (#COVID-19) on Consumer Products and Merchandising Sectors https://t.co/uLsYn9nNRH,Neutral
Grateful and praying for Medical care professionals journalists grocery store staff safety officials and first responders and all those who continue to work and risk their health and safety to care for the rest of the public they re champions of the common good,Extremely Positive
Controversy hit the Senate Friday as Senators Richard Burr R Diane Feinstein D Kelly Loeffler R and James Inhofe R all reportedly sold stock as prices fell due to COVID 19 Read more by NBC on,Neutral
"Smashed my running PB. I don't know what it says about me that I've done so with #London on the brink of collapse. It has though helped me forget, for a bit, that today I paid what I normally pay for 1kg of porridge for 500g.

#covid19 #coronavirus #panicbuyinguk #StopHoarding https://t.co/NHGgnUzocC",Extremely Negative
"Y'all people need to stop panic buying! How many times do they have to say it? THERES NO FOOD/SUPPLIES SHORTAGE!!! 

Yo girl is running really low on toilet paper and can't find a single piece of papel!! #coronavirus #COVID19 https://t.co/L0pmvvL3Oq",Extremely Negative
"How #Coronavirus Is Undermining Crop Prices in #India, Derailing Rural Rebound https://t.co/KM6BTytvjj via @ndtv",Negative
"Precisely What She Said

#StopHoarding #stockpiling #Convid19uk #coronavirus



https://t.co/TALBV86oqn",Neutral
"Asshole in charge, @NYGovCuomo says everyone should stay home except essential workers including grocery store workers. After 2 weeks of hoarding, stores are empty and if nobody can go out, who the fuck is going shopping? #coronavirus #CoronavirusPandemic",Extremely Negative
"Marketing Tips During #COVID19



DON'T SLASH PRICES



If you start slashing your prices, people will ask why. It's likely to deter potential customers.  Learn more, follow our #coronavirus blog here: https://t.co/oztBnKYAv9



 #Hospitality #Hotel #Restaurant",Extremely Negative
"""Ghost Supermarket""; Patchogue, N. Y. - March 20, 2020. Empty paper products shelves at King Kullen in Patchogue. Plenty of RAID Flea & Tick spray if you could use it. https://t.co/bM4AyWxNOJ.  #Supermarket #emptyshelves  #Paperproducts #Coronavirus https://t.co/rZmL7Nkgok",Negative
Let s just take a minute to say THANK YOU also to the amazing postal workers So many real people behind a click of online shopping and getting cards delivered Thank   you   19,Extremely Positive
"This by @meadwaj is very good. To stop COVID-19 the economy has to stop too. This means a move back to protecting core necessities, not producing consumer goods. Post-growth/degrowth/feminist economists should have some useful things to say here. https://t.co/NiKLUak2WN",Positive
"ebay allowing reselling of items cleared out of supermarkets at inflated prices #coronavirus #wilko #supermarket #ebay #COVID19 

@AskeBay @MailOnline @BootsUK @LoveWilko @DrinkRobinsons @piersmorgan @BBCBreaking @TheSun @DettolSA @GMB @Channel4News @SkyNews @jeremycorbyn https://t.co/b7Xuhtd8HB",Positive
General lockdown announced in today with reports of panic food buying As if that poor country the only successful Arab Spring democracy needs another blow,Negative
Seattle offers $800 supermarket vouchers to families in need https://t.co/HaN40Sb34J via @CNN #coronavirus #foodsecurity https://t.co/cJnbPL1qCi,Neutral
"SHARE FOOD NOT CORONAVIRUS



#CoronaCrisis #StaySafeStayHome #Covid_19 #CoronaVirusUpdate #firstdayofspring #coronavirus #classof2020 #StopHoarding #COVID19",Positive
"Effective April 13, 2020.

Federal Register :: #Safety and Effectiveness of Consumer #Antiseptic Rubs; Topical #Antimicrobial Drug Products for Over-the-Counter Human Use #COVID19 #Coronavirus #Prevention #CER https://t.co/4x4GpZzNUN",Positive
"@Nadinosaurusrex @RSewell1980 @LibertarianJew @OfficialSPGB This is exactly why. You oppose price gouging. It seems awful to you. OK. Now someone you likely voted for makes it illegal. Then something unusual like COVID-19 happens, and now we see shortages",Negative
The Groceries That No One Wants to Panic Buy Americans are emptying their supermarkets of everything but these persistently unappealing products via,Negative
"No one can say for sure when this #pandemic will end... But we do know that #China was the first to experience the outbreak & has learned abundant lessons from it. Here, we focus on the impact of #coronavirus on China's #retail and consumer industry:

https://t.co/QyILO1mTUa",Neutral
"If you have to venture out to the grocery store, here's what's open and when ??

UPDATE: Walmart senior shipping hour is from 6 a.m. until 7 a.m. not 7 a.m. Until 8 a.m. as listed above.



#coronavirusÃ¢ÂÂ¦ https://t.co/QweVc3uO4U",Neutral
 Governor Nasir el Rufai of Kaduna State was appointed as Chairman of the Sub Committee on COVID 19 pandemic and falling oil prices in the Nigeria economy and the revenues of State governments  ,Negative
"As New York's Indie Bookstores Close Their Doors, They Search for Community Online (support @greenlightbklyn and @Center4Fiction by shopping their websites online!)

https://t.co/guUiWq8mHd #smallbiz #coronavirus",Positive
"#Respirator Face Mask, With Free Worldwide Shipping. Wholesale Prices Available. #N95 #N95FaceMask #DisposableFaceMask #Covid19 #Coronavirus https://t.co/5fwbXOCsIv",Positive
"This is America: Milk and other food? Soap? Toilet paper? Medicine? Social distance? No!

@NPR: ""Some Stock Up On Guns And Ammunition During #Coronavirus Crisis"" https://t.co/lpE3d0CEV9",Extremely Negative
"Above Kenyan supermarket and below danish supermarket. #Covid_19 prevention requires some social distancing. Not much people just some, say around 6ft? Anyways please continue to #WashYourHands @STaherifar @PennyMelquist https://t.co/SqPCsvElYk",Positive
"Before Covid-19: Wait for kaw-kaw sale

After Covid-19: Buy the whole supermarket",Neutral
#Breaking: @NAB has announced it will give small businesses and home owners hit by the coronavirus six-month loan holidays. https://t.co/oHVoV9VY8H,Positive
"Banks Pressure Health Care Firms to Raise Prices on Critical Drugs, Medical Supplies for #Coronavirus



https://t.co/lE75LlGCLw",Negative
"#CoronaCrisis

#Covid19 #QuarantineLife

#ThanksChina

#ShelterInPlace



Lawmakers, community leaders call on Baker to order shelter-in-place in MA



Trips to the doctor, grocery store, restaurants for takeout food, essential workplaces would all be permitted



https://t.co/0ggjlghyn9 https://t.co/Ed77Ux6ao0",Neutral
"President & CEO Geoff Cooper @EthanolRFA on industry uncertainty amid COVID-19: ""I don't think anybody knows what that recovery looks like or how long it will take in terms of capacity and utilization."" https://t.co/TwWgNYtwNd",Neutral
"Supermarkets to recruit thousands of staff



Asda is to hire more than 5,000 temporary workers who have lost their jobs due to the impact of Covid-19.



Lidl also says it wants to recruit 2,500 staff to help cope with the surge in demand for food and otherÃ¢ÂÂ¦https://t.co/M5mSA6EOj7",Neutral
Did the government not promise they the vulnerable would have food deliveries ! Every supermarket /food delivery that I have tried says they are not delivering and are focusing on stores #Conservatives #Covid_19 #vulnerable #StayAtHome #SelfIsolation,Negative
The Latest: (COVID-19: Oar Opens Mini Mart Selling Supermarket Basics & Take Home Meals) https://t.co/5PV1i6udLA #Adelaide,Neutral
"A grocery store spokesman admits shortages are unprecedented Ã¢ÂÂ and says when shelves will be restocked. #coronavirus #CALockdown #CoronaVirusUpdate

#CoronavirusPandemic #Hoarders

 https://t.co/k0KGjgjJXu



via @GoogleNews",Positive
"#Brewdog and #LVMH's #handsanitizer moves provide much-needed unity between business and the public amid #coronavirus panic, says GlobalData



https://t.co/oIPBzkCRYi",Negative
A Virginia police department is investigating reports that teenagers filmed themselves coughing on produce at a local grocery store and uploaded videos on social media during the pandemic via,Neutral
"Supermarket @LidlGB wants to recruit 2,500 store workers to start immediately to help cope with demand due to #Coronavirus



Bosses say the new positions will be four-week contracts, helping to restock shelves. https://t.co/TPHYnwymfi",Positive
"So #DrFauci says on DatelineNBC tonight that there may be some transmissions of #Coronavirus through aerosol methods. It seems rare, however, but something to keep in mind if entering a crowded grocery store. I have to encounter that, though with strategy.",Neutral
"Stock Up on Chicken Soup! KOZAK Ukrainian Bakery ? #staypositive #coronavirus  #eastvan

#food #foodies #foodie #foodblog #vancouver #vancouverbc #yvreats #yvr #vancity #yvrfoodies #vancouverfood #vancouverfoodie #vancouverfoodies #burnaby #newwest #surreybc #richmondbc #Canucks https://t.co/XvOoDkBsEa",Neutral
"United Kingdom Consumer Inflation Expectations fell from previous 3.1% to 3%



[For more news, follow our page]

#forex #forexmarket #InternationalDayofHappiness #CoronaCrisis",Positive
"After #BlackMonday, March 9th, stock markets have collapsed as a result of concerns about #coronavirus and crashing oil prices. What about #HyperPoland? Is it worth supporting the development of our groundbreaking #transportation technology now? YES! ?? https://t.co/wttmq3Wqhe",Extremely Positive
"Delish: Food Companies Want To Hire Thousands Of Workers To Off Set Demand Due To COVID-19 Concerns.

https://t.co/0rNO2QLCJ1



via @GoogleNews",Negative
In reports on analysis by s showing how prices for an additive used to clean fish tanks have skyrocketed after studies found the pharmaceutical drug version of it may treat the,Extremely Positive
"File this one under...ARE YOU [BLEEPIN'] KIDDING ME?!!!! #WTF #TeensCoughingOnGroceryStoreProduce #GenZ #Purcellville #COVID19 #coronavirus 



https://t.co/430XVr5W5d",Positive
"Costco Is Now Refusing Returns On High-Demand Items  ... ???

#Covid_19 #Coronavirus



https://t.co/JwUCJwUT7T",Negative
"Nigerian Stocks Suffer Another Loss, ASI Dips -2.4% W/W on COVID-19 Fears, Falling Oil Prices https://t.co/RghvJaiIx9 https://t.co/6Ho2YORL3V",Extremely Negative
There are no food available for our #NHSstaff Stop Panic Buying. The #NHSheroes are working hours you could not fathom. Stop being violent & spitting at them as reported on BBC by a nurse. #CoronaVirusUpdate #Covid_19 #StaySafeStayHome,Extremely Negative
"Somehow the ""don't be a  Cunt"" message in this trying time for us all is lost on some shopkeepers #Covid_19  just say no to these highly inflated prices and tell them they're being a Cunt !",Extremely Negative
Why #TechCompanies Can Regain Consumer Trust as #Coronavirus Crisis Continues https://t.co/kiqiWsGVsm #marketing,Negative
"Bbc news, Coronavirus..

TESCO...

ASDA..

SAINSBURYS..

MORRISONS

ALDI

LIDL..

ALL PUT PRICES UP..!!? 

"""" SHOULD BE ASHAMED""""

#CoronaCrisis",Negative
"@Tesco #CoronaCrisis

HEAD OFFICE......

""PUT PRICES UP""...



PLEASE EXPLAIN..!!!!

????????????????????????",Positive
"Please Stop - By Me



#COVID19 #Covid_19 #coronavirus #cornoravirusuk #SocialDistanacing #StopHoarding #StayAtHome #StaySafe #PleaseStayHome #PleaseStop https://t.co/KhsufKlZ7J",Neutral
"MUST READ OP-ED: ""Texas could cut production by 10%, and if Saudi Arabia is willing to cut production by 10% from its pre-pandemic levels and Russia is willing to do the same,"" says @txrrc commissioner @RyanSitton | #OOTT https://t.co/NmEJvtGstp",Negative
"Shame he didn't say if you'regoing to a supermarket, items are restricted to 2, would make my job easier!!!#CoronaCrisis",Negative
"A case of COVID-19 was confirmed in my county tonight.



I have to go get laundry soap.



I've never been more scared of the grocery store.



Fuck.



#Covid_19 #coronavirus",Negative
"@melchizedekwife @SenFinance @SenateGOP @ChuckGrassley @HEB @Walmart @POTUS Having same problem here! Haven't gotten groceries in two weeks. Tried online shopping, out of stock. Called agency on aging to see what help was available, and was told programs",Neutral
"Don't want to say I'm an introvert but I had to be told the bars, restaurants, banks etc. were all shut down. The grocery store is open and pharmacy for my father so it's all normal for me #CoronaCrisis",Neutral
Why #Tech Companies Can Regain #Consumer #Trust as #Coronavirus #Crisis Continues (@eMarketer) https://t.co/0ns9Cuml0a #digitalmarketing #ecommerce #mcommerce #retail #retailmarketing #reputationmarketing #mobilemarketing,Neutral
"@Zuku_WeCare @ZukuOfficial with schools closed indefinitely and with kids doing their courses online,it is a great time for Zuku to come up with reduction in prices with #covid19kenya #Covid_19 in mind",Extremely Positive
"Next time you go to a store to pick up supplies, make sure to say thank you. Acknowledge the retail front line workers who are exposed to the public, let them know you appreciate them. 



They are heroes and should be treated as such. #COVID19ON #coronavirus",Extremely Positive
"Wash Your Hands Say Yeah

Death Cab for Elderly

Broken Social Distancing

Pandemic Bear

We Were Promised Testing Packs

OK Shelter-in-Place

Panic! At the Grocery Store

My Hand-Sanitizer Romance

Thao & the Go Home Stay Home

The Gaslighting Anthem

Wolf Parade (Canceled)

#coronavirus",Positive
The Competition and Markets Authority has launched a taskforce to tackle firms that are overcharging It has already contacted some firms over the high prices being charged for hand sanitiser reports MODwyer,Positive
"Key Worker status confirmed by Management today via email. The office will not close and it will be business as usual. Looking forward to free pizza and priority supermarket entry*

*This will not happen. #Coronavirus #Covid19 #Coronacrisis",Positive
Elderly Woman 'In Tears' At Empty Supermarket Highlights Panic Buying Crisis https://t.co/213qTDmFWL #wuhanvirus #coronavirus #socialdistancing,Extremely Negative
"COVID-19: Share Money From Foreign Reserves To Nigerians To Stock Food, Fani Kayode Tells Buhari.



These are the same people that advise Jonathan too. ????????",Positive
Every1 is pitching in why isn't the media asking @BorisJohnson to tell funeral companies to slash their prices right now?This is an expense  at any time but right now bereaved families need support! @piersmorgan @SkyNews @BBCBreaking @DailyMailUK @TheSun @DailyMirror #coronavirus,Negative
#Gouging as a foundational principle: #Banks Pressure Health Care Firms to Raise Prices Amid #Coronavirus Crisis https://t.co/CkZtamuf2w,Negative
AAA Texas says gas prices are $0.42 cheaper than this time last year statewide https://t.co/GmDbetngtJ,Neutral
"Got to ask the @BBCAnyQuestions panel how they would reduce the anxiety leading to panic buying. #Reassurance #rationing mainly, @EmilyThornberry reminded us how much Food Banks need our support. #CoronaCrisis #WereInThisTogether #panicbuying Have your say #AnyAnswers tomorrow",Negative
"Can @asda @Tesco @Morrisons @AldiUK @LidlGB 

Show  us your food  warehouses so people can see that you got stock.

Cos everyones not listening and panicking 

#StopPanicBuying #stockpiling #stopthehoard #SelfIsolation #CoronaCrisis",Positive
"After working in my local grocery store, I can honestly say that humanity will never be the same again. We have finally reached the point of no return. Selfish panic buying has destroyed all faith in our society #panic #stockpiling #Covid_19 #coronavirus",Extremely Negative
"BBC News - Coronavirus: Nurse's despair as panic-buyers clear shelves #coronavirus

#StopPanicBuying #StopHoarding ?  https://t.co/ThGPnPhauH",Negative
@NetflixUK you have confirmed that you are reducing the quality of videos in order to colour with the covid-19 crisis. Look forward to you reducing subscription prices accordingly,Extremely Negative
"@La_Primavera_GE 

Heartbreaking & infuriating!!

How shall elderly people stock up a little food when their retirement allowances are (too) small?? That's not unusual! Then, in addition, the shelves are emptied by those who have enough to dish out ",Extremely Negative
Perfect...Storm...Coronavirus...Pose...Big...Threat...bomb...Job...Income...Post-Brexit...UK...Economy...Covid-19...UK...Supermarket...Want...Police...Support...London...Lock...down...US...gas...Oil...Price...War...Time...Trump...Libya...Suriname...Sao Tome and Principe...Bolivia,Negative
@ShelaghSmith @BenDavidConway @Tesco @sainsburys @AldiUK @LidlGB @waitrose @Tesco are doing the hour on Sunday which is great. I'm really stuck as in the highest risk group on dialysis & immunosuppressants can't get delivery or even click & coll,Positive
"Beware of COVID19 scams. They are out there...FTC: Coronavirus scams, Part 2 https://t.co/pdBQVuNQa7 #Coronavirus #Covid19 #scams #consumerprotection #besafe #ThursdayThoughts",Extremely Negative
DO NOT SUPPORT THIS COMPANY! THEY DO NOT REFUND COSTUMERS THAT ARE STRANDED DUE TO THE #CoronaCrisis . They do not honor consumer rights #supersavertravel #coronatravel,Extremely Negative
"Grateful & praying for: Govt Medical care professionals, journalists, grocery store staff, safety officials and first responders & all those who continue to work and risk their health and safety to care for the rest of the public they're champions of the common good! #Coronavirus",Extremely Positive
"There is plenty of food & supplies in the US supply chain 



BE PATIENT

DON'T PANIC

DON'T HOARD



#Covid_19us

#SocialDistancing

#COVID



Trucker couple reports from the road amid COVID-19 shutdowns, urge people not to 'hoard' grocery items https://t.co/rWfsOPxmHz #FoxNews",Extremely Negative
#coronavirus As someone who works in a supermarket I can speak on behalf of everyone when I say it is absolute chaos Please don't be disrespectful to staff. The other day I was threatened by two men telling me how they are going to raid our store and I should not get in there way,Extremely Negative
"#coronavirus I have to say that I'm scared about the people who aren't scared. I was in a Zoom this morning and a woman said she goes to the grocery store every day because it's the only place to go! But the point is to stay home and stay away from people, not hang out w/ folks.",Negative
"#Covid_19 #CashAppFriday

Online shopping for Stuffed Animals & Plush Toys from a great selection of Stuffed Animals & Teddy Bears, Plush Figures, Plush Pillows, Plush Puppets & more at everyday 

 $1-$10. https://t.co/7gPI0GILcx via 

@amazon",Extremely Positive
"Officially one week in #selfquarantine. Here's a recap:

-naps, so many naps 

-new game: cold or COVID-19?

-more naps

-online shopping

-snacks, so many snacks

-breaking news every 5 minutes

-a few more naps



Here's to another month of isolation!",Negative
"So those #panicbuying food due to #coronavirus are now, according to a customer who works in a nearby Argos, panic buying freezers now to deal with their #foodhoard!



If they can afford second freezers, then surely they have no need to buy extra food, no? #Selfish #StopHoarding",Extremely Negative
"My husband is a FedEx driver, and I'm shocked by how many people he says still answer the door. If a FedEx, UPS, or USPS person knocks, just let them leave the package outside. Signatures are not currently required. Wave through a window or say hi through the closed door, FFS.",Extremely Negative
Foodbank news with this much food heading out to our distribution centres today tomorrow we can safely say demand for the support of is on the rise Here s how you can help with donations Thanks,Extremely Positive
"I really don't get social distancing....



Gov says keep 2 meters or 6 feet apart ...



Go to supermarket everyone is on top of each other trying to pay !



Go figure that out !!



#coronavirus 

#Corvid19uk 

#SocialDistanacing",Positive
"#CoronaCrisis #FridayThoughts #CoronaVirusUpdate 



Today's heroes! 



Thank you Grocery Store Workers!!!



#Covid_19 #COVID #FridayMotivation https://t.co/1bjwgCI3qB",Extremely Positive
"#CBD CANNOT CURE THE #CORONAVIRUS BUT IT CAN

 ?  CURE CORONAVIRUS SYMPTOMS

 ?  EASE YOUR ANXIETY

 ?  BOOST IMMUNE SYSTEM

 ?  ACT AS A NATURAL PAINKILLER!

*prices have been reduced at this difficult time to help everyone ?

https://t.co/WrLHYzIzAA #CoronaCrisis https://t.co/4XdZEFdc6f",Extremely Positive
"CNBC:

Panicked wealthy are fleeing to the Hamptons and Hudson Valley



""Wealthy New Yorkers fleeing the city are driving up the prices of rentals in the Hamptons and Hudson Valley, with rates more than tripling for some properties.""

#coronavirus

https://t.co/KMxckerInF",Positive
"If this is not what @GovMikeDeWine is planning to say about child care today, he should delay his speech until he is ready to commit to something like this. #Covid_19 https://t.co/2g6gB0ugIq",Extremely Positive
Consumer advocacy group CHOICE has slammed panic marketing tactics by a number of major brands which they say is fuelling consumer anxiety during the crisis,Extremely Negative
#Coronavirus: Asian Woman Kicked Out Of Ghanaian Supermarket For Refusing To Use Hand Sanitizer (Video) https://t.co/1cIp5Fu4Dp https://t.co/f9oEaTpziL,Positive
